message,reaction
mortar assault leaves at least 18 dead,sadness
goal delight for sheva,joy
nigeria hostage feared dead is freed,joy
vegetables not fruit slow brain decline,surprise
pm : havana deal a good experiment,joy
kate is marrying doherty,joy
nasa revisiting life on mars question,surprise
happy birthday ipod,joy
alonso would be happy to retire with three titles,joy
madonna ' s new tot ' happy at home ' in london,joy
nicole kidman asks dad to help stop husband ' s drinking,sadness
united finds good connection in win,joy
' runway ' : making good without making nice,joy
we were ' arrogant and stupid ' over iraq says us diplomat,sadness
bad reasons to be good,sadness
madonna ' s new baby ' s daddy didn ' t realize adoption was `for good ',surprise
women in their 60s ' are perfectly good mothers ',sadness
we ' re a pretty kind ' bully ',joy
moderate drinking reduces men ' s heart attack risk,joy
tom cruise and katie holmes set wedding date,joy
bush insists troops stay in iraq predicts midterm victory,anger
hurricane paul weakens to tropical storm,surprise
uk announces immigration restrictions,anger
three found alive from missing russian ship report,joy
poison pill to swallow : hawks hurting after loss to vikes,sadness
injured marathon winner leaves hospital,joy
hacker unlocks apple music download protection,surprise
sudan urges un to replace its special envoy,surprise
resolution approved for international games,joy
pair of satellites will document sun in 3 d,joy
martian life could have evaded detection by viking landers,surprise
the sweet tune of an anniversary,joy
did viking probes miss life on mars ?,surprise
diplomat acknowledges us arrogance in iraq,anger
more human remains found at ground zero,sadness
no evidence of ice reserves on the moon,sadness
a picture and a thousand words,anger
parachutist dies at bridge jump festival,sadness
us troops killed in october in iraq,sadness
chefs not counting calories study finds,sadness
deaths linked to flu vaccine,sadness
perfect lives lose their focus,joy
beating poverty in a small way,joy
israel insists on lebanon overflights,anger
britain to restrict immigrants from new eu members,anger
confusion reigns in the expanding digital world,surprise
game on ! london exhibition celebrates the history of video games,joy
making peace from victory over poverty,joy
marine killed in fighting west of baghdad,sadness
scientists create first cloaking device,joy
amateur rocket scientists reach for space,joy
confusion reigns in the expanding digital world,surprise
deaths linked to flu vaccine,sadness
israel admits using phosphorous shells in lebanon,sadness
4th person dies after receiving flu shot,sadness
scientists discover miracle in the depths,surprise
doctors seeing patients who think they ' re internet addicted,sadness
china launches two satellites into orbit,joy
vegetables may boost brain power in older adults,surprise
russian ship sinks 18 member crew missing,sadness
iran ' s president urges higher birth rate,surprise
apple set for massive market gains,joy
tumor types may explain survival rates for cancer,sadness
routine mission turns into hunt for missing comrade,sadness
bad weather slows s . korean search for russian ship,sadness
tailors and housewives busy as muslims celebrate eid,joy
active peace brings the promise of development,joy
abbas condemns israeli massacre in northern gaza strip,anger
bangladesh ferry sinks 15 dead,sadness
bucs find a new kick in life,joy
google to unveil election mashup,surprise
police warn of child exploitation online,anger
hungary police tackle violent protestors,sadness
three drivers had reason to be proud in brazil,joy
celebrities protest malibu gas facility,joy
lebo : a life lived on the edge,anger
presto ! he ' s batman then magic man,surprise
russian ship sinks in pacific,sadness
china successfully launches two satellites,joy
prestige has magic touch,joy
lies damned lies and divorce,sadness
manning inspires giants to victory in dallas,joy
riot warning for france suburbs,sadness
full recovery expected for marathon winner,joy
sony apologises for global battery recall,sadness
budapest calm after night of violent protests,anger
vegetables may boost brain power in older adults,joy
report criticises us press freedoms,anger
photographer kidnapping condemned,anger
photographer kidnapped in gaza,anger
baseball : rogers enjoys his muddied streak,joy
cultural revolutionary the ipod is five,joy
life on mars ? maybe we missed it,surprise
three found alive from missing russian ship report,joy
moderate drinking reduces men ' s heart attack risk,joy
the sweet tune of an anniversary,joy
inconvenient truths,anger
dating difficult for harry potter,surprise
students lose their rite of passage,sadness
putin vows to tackle illegal immigration,anger
top general optimistic on iraq,sadness
kim osorio wins sexual harrassment suit against the source,joy
silly and substantial,joy
official laughs for borat,joy
speaker hastert testifies before panel probing sex scandal,anger
on educating sexes separately,anger
tom cruise and katie holmes set wedding date,joy
martian life could have evaded detection by viking landers,surprise
marathon victory comes at heavy cost,joy
college tuition continues climbing,anger
german paper shows soldiers desecrating skull,anger
advantage cardinals with suppan in game 4,joy
nasa spacecraft to measure sun,joy
sony hates europeans will prevent the importing of ps3,anger
flu vaccine appears safe for young children,joy
google to launch yet another search tool,joy
tropical storm paul ' s outer bands hit mexico ' s baja california,sadness
new indonesia calamity a mud bath is man made,anger
u . s . weighs sanctions against north korea,anger
rice in baghdad insists that iraqis are,anger
senator says u . s . should rethink iraq strategy,sadness
german chief forges accord on financing health care,joy
turkish writers say efforts to stifle speech may backfire,anger
anti u . s . attack videos spread on the internet,anger
women face greatest threat of violence at home study finds,anger
appeal by chinese researcher for times may soon be heard,joy
brazil air force cites faults and confusion in fatal crash,sadness
immigrants and french reach deal in standoff,joy
genghis khan beer ? mongolia grimaces,anger
dead bachelors in remote china still find wives,surprise
managua journal : hold the mojito and margarita nicaragua has el macu,anger
paris journal : smoking no longer tres chic in france,joy
an old letter casts doubts on iran ' s goal for uranium,surprise
global sludge ends in tragedy for ivory coast,sadness
equipment on plane in brazil collision may have been faulty,sadness
new indonesia calamity a mud bath is man made,sadness
cleric said to lose reins over part of iraqi militia,sadness
citing spy agencies ' study democrats seek iraq changes,surprise
opera canceled over a depiction of muhammad,sadness
military officials add to u . s . criticism of iraq ' s government,joy
seduced by snacks ? no not you,anger
friends for life : an emerging biology of emotional healing,joy
alzheimer ' s drugs offer no help study finds,sadness
across europe worries on islam spread to center,sadness
cooking defines sephardic jews at sukkot,joy
fitness : bodies in motion clean and sober,joy
in god ' s name : religion based tax breaks : housing to paychecks to books,joy
yankee dies in plane crash official says,sadness
an elephant crackup ?,sadness
with youtube grad student hits jackpot again,joy
dow flirts with record highs again,joy
' deep regret ' for ex hp exec,sadness
' opportunity ' knocks on geologist ' s dream crater,joy
squirrel jumps boy in park; rabies suspected,surprise
girl left comatose after dental visit dies,sadness
porn star candidate campaigns on campus,anger
school ends football season after 0 4 start,sadness
charlie sheen to become highest paid sitcom star,joy
jon stewart mocks benefits of cnn ' s i,surprise
ashton kutcher tells secret to ryan seacrest,surprise
nails on chalkboard study earns ig,anger
gunman ' fine ' before shooting,sadness
marijuana may stave off alzheimer ' s,surprise
kentucky seeks alcohol huffing ban,joy
toddler died from tainted spinach,sadness
judge dismisses karr ' s porn case,surprise
slain amish girls laid to rest,sadness
cher auction fetches double pre sale estimates,joy
stars scuffle on ' grey ' s anatomy ',anger
probe under way in yankee crash,sadness
amish schoolhouse torn down,sadness
warner will not run in ' 08,sadness
reid land deal under scrutiny,surprise
flooding washes out road to valdez alaska,sadness
briton admits u . s . bomb plot role,sadness
commentary : minutemen have a right to be idiotic,anger
madonna files adoption papers,joy
hastert sorry for scandal but not quitting,sadness
ex jonbenet suspect : child porn case dropped,anger
waste plant fire forces 5000 to evacuate,sadness
toddler died from e . coli tainted spinach,sadness
disturbing finds in child sex raids,anger
magazine lists women who had abortions,anger
pot smokers may avoid alzheimer ' s study says,surprise
student starts white men ' s club on campus,sadness
kentucky wants to ban alcohol inhalers,surprise
peter pan flies into chapter two,surprise
teen repellent inventor wins infamous prize,joy
cher ' s dress car bed have new owners,joy
dow hits new record eyes 12000,joy
ex virginia gov not running for president,surprise
yankee pitcher ' s pilot log found,surprise
dem leader ' s $1 million land deal under scrutiny,anger
dad locked up son watched on tv police say,sadness
navarrette : minutemen have a right to be idiotic,sadness
pit bulls jump miniature pony leave her bloody,sadness
trailblazing trio protects city by the bay,joy
madonna files adoption papers in malawi,joy
' dr . mcdreamy ' choked in ' grey ' s ' scuffle,sadness
$10000 poetry prize awarded,joy
las vegas honour for tiger pair,joy
uk characters boosting box office,joy
cher items snapped up at auction,joy
griffiths scorns withnail ' play ',anger
lily allen wins web music award,joy
costner appeals in casino wrangle,anger
beyonce copyright claim rejected,anger
cohn gunman jailed for 36 years,joy
melua ' s deep sea gig sets record,joy
sri lanka clashes kill 129 troops,sadness
gunmen kill 11 in iraq tv raid,sadness
italy drops sicily bridge plans,surprise
amish killings school demolished,sadness
pamuk wins nobel literature prize,joy
madonna adoption bid approved,joy
who are you calling fat ?,anger
